id,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,win_type,player_of_match,umpire1
37,Mumbai,2017-05-01,RCB,MI,RCB,bat,normal,0,MI,5,wickets,RG Sharma,AK Chaudhary
38,Pune,2017-05-01,GL,RPS,RPS,field,normal,0,RPS,5,wickets,BA Stokes,M Erasmus
39,Delhi,2017-05-02,SRH,DD,DD,field,normal,0,DD,6,wickets,Mohammed Shami,YC Barde
40,Kolkata,2017-05-03,KKR,RPS,RPS,field,normal,0,RPS,4,wickets,RA Tripathi,KN Ananthapadmanabhan
41,Delhi,2017-05-04,GL,DD,DD,field,normal,0,DD,7,wickets,RR Pant,M Erasmus
42,Bangalore,2017-05-05,KXIP,RCB,RCB,field,normal,0,KXIP,19,runs,Sandeep Sharma,CB Gaffaney
43,Hyderabad,2017-05-06,RPS,SRH,SRH,field,normal,0,RPS,12,runs,JD Unadkat,KN Ananthapadmanabhan
44,Delhi,2017-05-06,MI,DD,DD,field,normal,0,MI,146,runs,LMP Simmons,Nitin Menon
45,Bangalore,2017-05-07,RCB,KKR,KKR,field,normal,0,KKR,6,wickets,SP Narine,AY Dandekar
46,Chandigarh,2017-05-07,KXIP,GL,GL,field,normal,0,GL,6,wickets,DR Smith,A Nand Kishore
47,Hyderabad,2017-05-08,MI,SRH,MI,bat,normal,0,SRH,7,wickets,S Dhawan,KN Ananthapadmanabhan
48,Chandigarh,2017-05-09,KXIP,KKR,KKR,field,normal,0,KXIP,14,runs,MM Sharma,A Nand Kishore
49,Kanpur,2017-05-10,GL,DD,DD,field,normal,0,DD,2,wickets,SS Iyer,YC Barde
50,Mumbai,2017-05-11,KXIP,MI,MI,field,normal,0,KXIP,7,runs,WP Saha,A Deshmukh
51,Delhi,2017-05-12,DD,RPS,DD,bat,normal,0,DD,7,runs,KK Nair,KN Ananthapadmanabhan
52,Kanpur,2017-05-13,GL,SRH,SRH,field,normal,0,SRH,8,wickets,Mohammed Siraj,AK Chaudhary
53,Kolkata,2017-05-13,MI,KKR,KKR,field,normal,0,MI,9,runs,AT Rayudu,A Nand Kishore
54,Pune,2017-05-14,KXIP,RPS,RPS,field,normal,0,RPS,9,wickets,JD Unadkat,AY Dandekar
55,Delhi,2017-05-14,RCB,DD,RCB,bat,normal,0,RCB,10,runs,HV Patel,CK Nandan
56,Mumbai,2017-05-16,RPS,MI,MI,field,normal,0,RPS,20,runs,Washington Sundar,S Ravi
57,Bangalore,2017-05-17,SRH,KKR,KKR,field,normal,1,KKR,7,wickets,NM Coulter-Nile,AK Chaudhary
58,Bangalore,2017-05-19,KKR,MI,MI,field,normal,0,MI,6,wickets,KV Sharma,NJ Llong
59,Hyderabad,2017-05-21,MI,RPS,MI,bat,normal,0,MI,1,runs,KH Pandya,NJ Llong
60,Bangalore,2008-04-18,KKR,RCB,RCB,field,normal,0,KKR,140,runs,BB McCullum,Asad Rauf
61,Chandigarh,2008-04-19,CSK,KXIP,CSK,bat,normal,0,CSK,33,runs,MEK Hussey,MR Benson
62,Delhi,2008-04-19,RR,DD,RR,bat,normal,0,DD,9,wickets,MF Maharoof,Aleem Dar
63,Mumbai,2008-04-20,MI,RCB,MI,bat,normal,0,RCB,5,wickets,MV Boucher,SJ Davis
64,Kolkata,2008-04-20,DC,KKR,DC,bat,normal,0,KKR,5,wickets,DJ Hussey,BF Bowden
65,Jaipur,2008-04-21,KXIP,RR,KXIP,bat,normal,0,RR,6,wickets,SR Watson,Aleem Dar
66,Hyderabad,2008-04-22,DC,DD,DC,bat,normal,0,DD,9,wickets,V Sehwag,IL Howell
67,Chennai,2008-04-23,CSK,MI,MI,field,normal,0,CSK,6,runs,ML Hayden,DJ Harper
68,Hyderabad,2008-04-24,DC,RR,RR,field,normal,0,RR,3,wickets,YK Pathan,Asad Rauf
69,Chandigarh,2008-04-25,KXIP,MI,MI,field,normal,0,KXIP,66,runs,KC Sangakkara,Aleem Dar
70,Bangalore,2008-04-26,RCB,RR,RR,field,normal,0,RR,7,wickets,SR Watson,MR Benson
71,Chennai,2008-04-26,KKR,CSK,KKR,bat,normal,0,CSK,9,wickets,JDP Oram,BF Bowden
